RPM Function ID and Name,RPM Activity ID and Name,Capability ID,"(I)input
(P)process
(O)output",Business Capability Statement,Authoritative Reference,Other Source
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.421,I,Capture corrective action status in addressing real property asset and/or component utility and energy management issues and concerns consistent with 41 CFR,"41 CFR 102–74.165, 102–74.175",
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.422,P,"Evaluate effectiveness of corrective action status in remedying real property asset and/or component utility and energy management issues and concerns, determine corrective action adjustments as necessary, and record results consistent with 41 CFR","41 CFR 102–74.165, 102–74.175",
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.423,O,Provide evaluation results concerning effectiveness of corrective action status in remedying real property asset and/or component utility and energy management issues and concerns and corrective action adjustments consistent with 41 CFR,"41 CFR 102–74.165, 102–74.175",
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.431,P,Determine and document expiring real property asset and/or component occupancy or use agreement consistent with 41 CFR,41 CFR 102-85.200,
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.432,O,Provide expiring real property asset and/or component occupancy or use agreement information consistent with 41 CFR,41 CFR 102-85.200,
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.441,P,Develop and document modified terms information for real property asset component occupancy or use agreement consistent with 41 CFR,"41 CFR 102-85.55, 102-85.60, 102-85.65, 102-85.70, 102-85.200",
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.442,O,Provide modified terms information for real property asset occupancy or use agreement consistent with 41 CFR,"41 CFR 102-85.55, 102-85.60, 102-85.65, 102-85.70, 102-85.200",
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.451,P,"Develop and document request for information concerning plans for continued occupancy or use of real property asset, including supporting information such as modified terms information, consistent with 41 CFR",41 CFR 102-85.200,
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.452,O,"Provide request for information concerning plans for continued occupancy or use of real property asset, including supporting information such as modified terms information, consistent with 41 CFR",41 CFR 102-85.200 ,
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.461,I,Capture response to request for information concerning plans for continued occupancy or use of real property asset consistent with 41 CFR,41 CFR 102-85.200,
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.462,P,Evaluate response to request for information concerning plans for continued occupancy or use of real property asset and record results consistent with 41 CFR,41 CFR 102-85.200,
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.463,O,Provide evaluation results concerning response to request for information concerning plans for continued occupancy or use of real property asset consistent with 41 CFR,41 CFR 102-85.200,
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.471,P,"Develop occupancy and use agreement modification information, route for review and approval, and document results consistent with 41 CFR","41 CFR 102-85.55, 102-85.60, 102-85.65, 102-85.70, 102-85.200",
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.472,O,Provide occupancy and use agreement modification information consistent with 41 CFR,"41 CFR 102-85.55, 102-85.60, 102-85.65, 102-85.70, 102-85.200",
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.481,P,Identify and document expiring real property asset and/or component warranty,,"National Operations & Maintenance Specification, December 2018"
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.482,O,Provide expiring real property asset and/or component warranty information,,"National Operations & Maintenance Specification, December 2018"
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.491,P,Develop and document request for real property asset and/or component warranty renewal ,,"National Operations & Maintenance Specification, December 2018"
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.492,O,Provide request for real property asset and/or component warranty renewal,,"National Operations & Maintenance Specification, December 2018"
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.501,P,"Determine and document expiring government-required easements, permits, and access rights for real property assets",,
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.502,O,"Provide expiring government-required easements, permits, and access rights for real property assets",,
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.511,P,"Evaluate need for renewal of government-required easements, permits, and access rights for real property assets based on real property asset life and use and record results consistent with 41 CFR",41 CFR 102–75.936,
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.512,O,"Provide evaluation results concerning need for renewal of government-required easements, permits, and access rights for real property assets based on real property asset life and use consistent with 41 CFR",41 CFR 102–75.936,
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.521,P,"Develop request/application for renewal of government-required easements, permits, or access rights, route for review and approval, and document results",,
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.522,O,"Provide request/application for renewal of government-required easements, permits, or access rights and approval information",,
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.531,I,"Capture approval/disapproval of renewal of government-required easements, permits, or access rights",,
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.532,P,"Develop and document updated government-required easements, permits, or access rights information",,
